Product_Id,ProductCategory,ProductName,Quantity,Price,ManufacturYear,ExpiryYear
1001,Electronics,Digital Camera,10,5000,2019,2022
1002,Computing,Desktop,7,2000,2021,2022
1003,Gaming,Playstation 5,4,7000,2021,2022
1004,Drinks,Coffee,30,900,2021,2022
1005,Food,Cooking Oil,40,2000,2021,2022
1006,Electronics,Video Surveillance,5,4000,2021,2022
1007,Computing,Memory Card,10,2000,2021,2022
1008,Gaming,XBOX 360,3,20000,2021,2022
1009,Drinks,Red Wine,20,4000,2021,2022
1010,Food,Rice,30,34000,2020,2022
1011,Electronics,Stabilizer,4,15000,2020,2022
1012,Computing,Printer,5,15000,2020,2022
1013,Gaming,Playstation 3,6,15000,2020,2022
1014,Drinks,Malt,20,250,2018,2022
1015,Food,Noodles,40,600,2020,2022
1016,Electronics,Projector,9,13000,2020,2022
1017,Electronics,DVD Player,6,7000,2020,2022
1018,Computing,Laptop,8,250000,2020,2022
1019,Gaming,Nintendo 3DS,2,9000,2021,2022
1020,Drinks,Vodka,5,4000,2021,2022
1021,Electronics,Smart Tv,7,4000,2021,2022
1022,Computing,Battery,30,4000,2019,2022
1023,Gaming,Playstation 4,3,4000,2019,2022
1024,Drinks,Whiskey,20,2000,2019,2022
1025,Food,Flour,10,900,2019,2022